Name,Address,Category,Original Address,Import Note
Park Fiction,"Schauermanns Park, Pinnasberg 27, 20359 Altona, Germany",Parc / vue / photo,"Schauermanns Park, Pinnasberg 27, 20359 Altona, Allemagne",
Pont de Köhlbrand,"Köhlbrandbrücke, 21129 Hamburg, Germany",Architecture / pont / photo,"Köhlbrandbrücke, 21129 Hamburg, Allemagne",
City Nord,"City Nord, Hamburg, Germany",Architecture / photo,No address (panel appeared but no data),Adresse reconstruite à partir du nom du lieu; vérifier le point après import.
Oberhafen,"Oberhafen, Hamburg, Germany",Quartier / architecture / photo,No address found,Adresse reconstruite à partir du nom du lieu; vérifier le point après import.
Ericusspitze,"Ericusspitze, Hamburg, Germany",Architecture / photo,No address found,Adresse reconstruite à partir du nom du lieu; vérifier le point après import.
HafenCity Universität,"20457 Hamburg, Germany",Architecture / station / photo,"20457 Hamburg, Allemagne",
Université HafenCity Hambourg,"Henning-Voscherau-Platz 1, 20457 Hamburg, Germany",Architecture,"Henning-Voscherau-Platz 1, 20457 Hamburg, Allemagne",
Hamburg BUNKER,"Feldstraße 66/5. Stock, 20359 Hamburg, Germany",Architecture / vue / culture,"Feldstraße 66/5. Stock, 20359 Hamburg, Allemagne",
Alsterarkaden,"Alsterarkaden 10, 20354 Hamburg, Germany",Architecture / centre-ville,"Alsterarkaden 10, 20354 Hamburg, Allemagne",
Miniatur Wunderland,"Kehrwieder 2/Block D, 20457 Hamburg, Germany",Musée / attraction,"Kehrwieder 2/Block D, 20457 Hamburg, Allemagne",
Marshall Street Coffee,"Schopenstehl 30, 20095 Hamburg, Germany",Café,"Schopenstehl 30, 20095 Hamburg, Allemagne",
Playground Coffee St. Pauli,"Detlev-Bremer-Straße 21, 20359 Hamburg, Germany",Café,"Detlev-Bremer-Straße 21, 20359 Hamburg, Allemagne",
Nord Coast Coffee Roastery,"Deichstraße 9, 20459 Hamburg, Germany",Café,"Deichstraße 9, 20459 Hamburg, Allemagne",
Public Coffee Roasters,"Wexstraße 28, 20355 Hamburg, Germany",Café,"Wexstraße 28, 20355 Hamburg, Allemagne",
Public Coffee Roasters,"Poststraße 12, 20354 Hamburg, Germany",Café,"Poststraße 12, 20354 Hamburg, Allemagne",
m&k markt & kultur Veranststaltungs GmbH - Marktbüro,"Wendenstraße 333, Innenhof 1. OG, 20537 Hamburg, Germany",Marché / événement,"Wendenstraße 333, Innenhof 1. OG, 20537 Hamburg, Allemagne",
Elbtunnel-Bohrkopf (T.R.U.D.E. = Tief runter unter die Elbe),"22305 Hamburg-Nord, Germany",Industriel / insolite / photo,"22305 Hamburg-Nord, Allemagne",
Kulturflohmarkt Museum der Arbeit,"Wiesendamm 3, 22305 Hamburg-Nord, Germany",Marché aux puces,"Wiesendamm 3, 22305 Hamburg-Nord, Allemagne",
Flohmarkt Flohschanze,"Neuer Kamp 30, 20357 Altona, Germany",Marché aux puces,"Neuer Kamp 30, 20357 Altona, Allemagne",
Reeperbahn,"Reeperbahn, Hamburg, Germany",Quartier / nightlife / photo,No address (panel appeared but no data),Adresse reconstruite à partir du nom du lieu; vérifier le point après import.
Heiligengeistfeld,"Heiligengeistfeld 1, 20359 Hamburg, Germany",Espace urbain / événement,"Heiligengeistfeld 1, 20359 Hamburg, Allemagne",
Messe-Eingang Süd,"20355 Hamburg, Germany",Repère / salon,"20355 Hamburg, Allemagne",
Ratsherrn Pilsener,"Lagerstraße 30a, 20357 Altona, Germany",Brasserie / gastronomie,"Lagerstraße 30a, 20357 Altona, Allemagne",
Fischmarkt Hamburg Altona,"Fischmarkt 2, 22767 Altona, Germany",Marché / gastronomie,"Fischmarkt 2, 22767 Altona, Allemagne",
Altes Lotsenhaus,"20457 Hamburg, Germany",Architecture / port / photo,"20457 Hamburg, Allemagne",
Überseequartier,"20457 Hamburg, Germany",Architecture / quartier / photo,"20457 Hambourg, Allemagne",
Musical Boulevard Hamburg,"Norderelbstraße 8, 20457 Hamburg, Germany",Architecture / rive / photo,"Norderelbstraße 8, 20457 Hamburg, Allemagne",
Vieux tunnel sous l'Elbe,"Bei den St. Pauli-Landungsbrücken, 20359 Hamburg, Germany",Architecture / infrastructure / photo,"Bei den St. Pauli-Landungsbrücken, 20359 Hamburg, Allemagne",
Hard Rock Cafe Hamburg,"Bei den St. Pauli-Landungsbrücken 5, 20359 Hamburg, Germany",Bar / restaurant,"Bei den St. Pauli-Landungsbrücken 5, 20359 Hamburg, Allemagne",
Hamburg Hauptbahnhof,"Hachmannplatz 16, 20099 Hamburg, Germany",Gare / architecture / photo,"Hachmannplatz 16, 20099 Hamburg, Allemagne",
Landzunge,"Reginenstraße 13, 20539 Hamburg, Germany",Vue / port / photo,"Reginenstraße 13, 20539 Hamburg, Allemagne",
Elbbrücken,"20457 Hamburg, Germany",Architecture / station / photo,"20457 Hambourg, Allemagne",
Elbbrücken,"20539 Hamburg, Germany",Architecture / station / photo,"20539 Hambourg, Allemagne",
Lighthouse Zero,"20457 Hamburg, Germany",Architecture / art / photo,"20457 Hamburg, Allemagne",
Baakenhafen,"20457 Hamburg, Germany",Quartier / architecture / photo,"20457 Hambourg, Allemagne",
HafenCity,"HafenCity, Hamburg, Germany",Quartier / architecture / photo,No address (panel appeared but no data),Adresse reconstruite à partir du nom du lieu; vérifier le point après import.
Chilehaus,"Chilehaus, Hamburg, Germany",Architecture / photo,No address found,Adresse reconstruite à partir du nom du lieu; vérifier le point après import.
Fleetschlösschen by Daniel Wischer,"Brooktorkai 17, 20457 Hamburg, Germany",Restaurant / architecture,"Brooktorkai 17, 20457 Hamburg, Allemagne",
Oberhafenbrücke,"Oberhafenbrücke, Hamburg, Germany",Architecture / pont / photo,No address (panel appeared but no data),Adresse reconstruite à partir du nom du lieu; vérifier le point après import.
Oberhafen-Kantine,"Stockmeyerstraße 39, 20457 Hamburg, Germany",Gastronomie / architecture,"Stockmeyerstraße 39, 20457 Hamburg, Allemagne",
Chilehaus,"Fischertwiete 2A, 20095 Hamburg, Germany",Architecture / photo,"Fischertwiete 2A, 20095 Hamburg, Allemagne",
Speicherstadt,"Speicherstadt, Hamburg, Germany",Quartier / architecture / photo,No address (panel appeared but no data),Adresse reconstruite à partir du nom du lieu; vérifier le point après import.
Unilever Haus,"Unilever Haus, Hamburg, Germany",Architecture / photo,No address found,Adresse reconstruite à partir du nom du lieu; vérifier le point après import.
Marco Polo Tower,"Am Strandkai 3, 20457 Hamburg, Germany",Architecture / photo,"Am Strandkai 3, 20457 Hamburg, Allemagne",
Dockland Office Building,"Van-der-Smissen-Straße 9, 22767 Altona, Germany",Architecture / photo,"Van-der-Smissen-Straße 9, 22767 Altona, Allemagne",
Elbphilharmonie Hamburg,"Platz d. Deutschen Einheit 4, 20457 Hamburg, Germany",Architecture / culture / photo,"Platz d. Deutschen Einheit 4, 20457 Hamburg, Allemagne",
PHOXXI - Temporäres Haus der Photographie,"Deichtorstraße 1-2, 20095 Hamburg, Germany",Photographie / musée,"Deichtorstraße 1-2, 20095 Hamburg, Allemagne",
Lüneburger Str. 30,"Lüneburger Str. 30, Hamburg, Germany",Repère / Harburg,No address (panel appeared but no data),Adresse reconstruite à partir du nom du lieu; vérifier le point après import.
