Name,Address,Category,Original Address,Import Note,MainCategory,Quarter
Oberhafenbrücke,"Oberhafenbrücke, Hamburg, Germany",Architecture / pont / photo,No address (panel appeared but no data),Adresse reconstruite à partir du nom du lieu; vérifier le point après import.,Architecture & photo,HafenCity & Speicherstadt
Oberhafen-Kantine,"Stockmeyerstraße 39, 20457 Hamburg, Germany",Gastronomie / architecture,"Stockmeyerstraße 39, 20457 Hamburg, Allemagne",,Manger & boire,HafenCity & Speicherstadt
Chilehaus,"Fischertwiete 2A, 20095 Hamburg, Germany",Architecture / photo,"Fischertwiete 2A, 20095 Hamburg, Allemagne",,Architecture & photo,Centre
Speicherstadt,"Speicherstadt, Hamburg, Germany",Quartier / architecture / photo,No address (panel appeared but no data),Adresse reconstruite à partir du nom du lieu; vérifier le point après import.,Quartiers & ambiances,HafenCity & Speicherstadt
Unilever Haus,"Unilever Haus, Hamburg, Germany",Architecture / photo,No address found,Adresse reconstruite à partir du nom du lieu; vérifier le point après import.,Architecture & photo,HafenCity & Speicherstadt
Marco Polo Tower,"Am Strandkai 3, 20457 Hamburg, Germany",Architecture / photo,"Am Strandkai 3, 20457 Hamburg, Allemagne",,Architecture & photo,HafenCity & Speicherstadt
Dockland Office Building,"Van-der-Smissen-Straße 9, 22767 Altona, Germany",Architecture / photo,"Van-der-Smissen-Straße 9, 22767 Altona, Allemagne",,Architecture & photo,Altona & Fischmarkt
Elbphilharmonie Hamburg,"Platz d. Deutschen Einheit 4, 20457 Hamburg, Germany",Architecture / culture / photo,"Platz d. Deutschen Einheit 4, 20457 Hamburg, Allemagne",,Culture & musées,HafenCity & Speicherstadt
PHOXXI - Temporäres Haus der Photographie,"Deichtorstraße 1-2, 20095 Hamburg, Germany",Photographie / musée,"Deichtorstraße 1-2, 20095 Hamburg, Allemagne",,Culture & musées,Centre
Lüneburger Str. 30,"Lüneburger Str. 30, Hamburg, Germany",Repère / Harburg,No address (panel appeared but no data),Adresse reconstruite à partir du nom du lieu; vérifier le point après import.,Quartiers & ambiances,Harburg
